,country,capital
0,آذربایجان,باکو
1,آرژانتین,بوئنوس آیرس
2,آلبانی,تیرانا
3,آلمان,برلین
4,آنتیگوا و باربودا,سنت جونز
5,آندورا,آندورا
6,آنگولا,لوآندا
7,اتریش,وین
8,اتیوپی,آدیس آبابا
9,اردن,امّان(عمّان)
10,ارمنستان,ایروان
11,اسپانیا,مادرید
12,استرالیا,کانبرا
13,استونی,تالین
14,اسلواکی,براتیسلاوا
15,اسلوونی,لیوبلیانا
16,افریقای جنوبی,پرتوریا-کیپ تاون
17,افریقای مرکزی,بانگی
18,افغانستان,کابل
19,اکوادور,کیتو
20,الجزایر,الجزیره
21,السالوادور,سان سالوادور
22,امارات متحده عربی,ابوظبی
23,انگلستان,لندن
24,اوروگوئه,مونته ویدئو
25,اوکراین,کیف
26,اوگاندا,کامپالا
27,ایالات متحده امریکا,واشینگتن
28,ایتالیا,رم
29,ایران,تهران
30,ایرلند,دوبلین
31,ایسلند,ریکیاویک
32,باربادوس,بریج تاون
33,باهاما,ناسائو
34,بحرین,منامه
35,برزیل,برازیلیا
36,برونئی,سری بگاوان
37,بلژیک,بروکسل
38,بلیز,بلموپان
39,بنگلادش,داکا
40,بنین,پرتونوو
41,بوتان,تیمبو(تیمپو)
42,بوتسوانا,گابرون
43,بورکینا فاسو,واگادوگو
44,بوروندی,بوجومبورا
45,بوسنی و هرزگوین,سارایوو
46,بولیوی,سوکره -لاپاز
47,پاپوا گینه نو,پورت مورسبی
48,پاراگوئه,آسونسیون
49,پاکستان,اسلام آباد
50,پالائو,نگرولمود
51,پاناما,پاناما سیتی
52,پرتغال,لیسبون
53,پرو,لیما
54,تاجیکستان,دوشنبه
55,تانزانیا,دودوما
56,تایلند,بانکوک
57,تایوان,تایپه
58,ترکمنستان,عشق آباد
59,ترکیه,آنکارا
60,ترینیداد و توباگو,پرت آو اسپاین
61,توگو,لومه
62,تونس,تونس
63,تونگا,نوکوآلوفا
64,تووالو,فونافوتی
65,جامائیکا,کینگستون
66,اریتره,اسمره
67,اندونزی,جاکارتا
68,جیبوتی,جیبوتی
69,چاد,انجامنا
70,چک,پراگ
71,چین,پکن
72,دانمارک,کپنهاگ
73,دومینیکا,روسو
74,دومینیکن,سانتو دومینگو
75,روآندا,کیگالی
76,روسیه,مسکو
77,بلاروس,مینسک
78,رومانی,بخارست
79,(جمهوری دمکراتیک کنگو (زئیر- کنگوی کینشاسا,کینشاسا
80,زامبیا,لوساکا
81,زلاند نو,ولینگتون
82,زیمبابوه,هراره
83,ژاپن,توکیو
84,سائوتومه و پرنسیپ,سائوتومه
85,ساحل عاج,یاموسوکرو
86,ساموآ,آپیا
87,سن مارینو(سان مارینو),سن مارینو
88,سری لانکا,کلمبو
89,جزایرسلیمان,هونیارا
90,سنت کیتس و نویس,باستر
91,سنت لوسیا,کاستریس
92,سنت وینسنت و گرنادین,کینگزتاون
93,سنگاپور,سنگاپور
94,سنگال,داکار
95,سوئد,استکهلم
96,سوئیس,برن
97,سوازیلند,امبابان
98,سودان,خارطوم
99,سورینام,پاراماریبو
100,سوریه,دمشق
101,سومالی,موگادیشو
102,سیرالئون,فری تاون
103,سیشل,ویکتوریا
104,شیلی,سانتیاگو
105,صحرای غربی,العیون
106,صربستان,بلگراد
107,عراق,بغداد
108,عربستان سعودی,ریاض
109,عمان,مسقط
110,غنا,آکرا
111,فرانسه,پاریس
112,فلسطین,بیت المقدس(قدس)
113,فنلاند,هلسینکی
114,فیجی,سووا
115,فیلیپین,مانیل
116,قبرس,نیکوزیا
117,قرقیزستان,بیشکک
118,قزاقستان,آستانه
119,قطر,دوحه
120,کالدونیای جدید,نومئا
121,کامبوج,پنوم پن
122,کامرون,یائونده
123,کانادا,اتاوا
124,کرواسی,زاگرب
125,کره جنوبی,سئول
126,کره شمالی,پیونگ یانگ
127,کاستاریکا,سان خوزه
128,کلمبیا,بوگوتا
129,کنگو,برازاویل
130,کنیا,نایروبی
131,کوبا,هاوانا
132,کومور,مورونی
133,کویت,کویت
134,کیپ ورد,پرایا
135,کیریباتی,تاراوا
136,گابن,لیبرویل
137,گامبیا,بانجول
138,گرجستان,تفلیس
139,گرنادا,سنت جورجز
140,گواتمالا,گواتمالا سیتی
141,گویان,جورج تاون
142,گینه,کوناکری
143,گینه استوائی,مالابو
144,گینه بیسائو,بیسائو
145,لائوس,وین تیان
146,لاتوی(لتونی),ریگا
147,لبنان,بیروت
148,لسوتو,ماسرو
149,لوکزامبورگ,لوکزامبورگ
150,لهستان,ورشو
151,لیبریا,مونروویا
152,لیبی,تریپولی)طرابلس)
153,لیتوانی,ویلنیوس
154,لیختن اشتاین,فادوتس
155,جزایر مارشال,ماجورو
156,ماداگاسکار(مالاگاسی),آنتاناناریوو
157,مالاوی,لیلونگوه
158,مالت,والِتا
159,مالدیو,ماله
160,مالزی,کوالالامپور
161,مالی,باماکو
162,مجارستان,بوداپست
163,مصر,قاهره
164,مغرب(مراکش),رباط
165,مغولستان,اولان باتور
166,مقدونیه,اسکوپیه
167,مکزیک,مکزیکو سیتی
168,موریتانی,نواکشوت
169,موریس,پورت لوئیس
170,موزامبیک,ماپوتو
171,مولداوی,(کیشیناو)کیشی نف
172,موناکو,موناکو
173,مونته نگرو,پودگوریتسا
174,میانمار(برمه),تایپیداو
175,نائورو,یارن
176,نامیبیا,ویندهوک
177,نپال,کاتماندو
178,نروژ,اسلو
179,نیجر,نیامی
180,نیجریه,آبوجا
181,نیکاراگوآ,ماناگوآ
182,واتیکان,واتیکان
183,وانواتو,پورت ویلا
184,ونزوئلا,کاراکاس
185,ویتنام,هانوی
186,هائیتی,پورتوپرنس
187,هلند,آمستردام
188,هند,دهلی نو
189,هندوراس,تگوسیگالپا
190,یمن,صنعا
191,کرواسی,زاگرب
192,یونان,آتن
