,j_d,g_d,h_d,events,event,calender_type
0,"(1394, 11, 1)",2016-01-21,"(1437, 4, 11)",زادروز فردوسی,زادروز فردوسی,j
1,"(1394, 11, 1)",2016-01-21,"(1437, 4, 11)",وفات حضرت معصومه سلام الله علیها [١٠ ربیع الثانی],وفات حضرت معصومه سلام الله علیها,h
2,"(1394, 11, 2)",2016-01-22,"(1437, 4, 12)",روز، جشن بهمنگان,روز، جشن بهمنگان,j
3,"(1394, 11, 5)",2016-01-25,"(1437, 4, 15)",جشن نوسره,جشن نوسره,j
4,"(1394, 11, 10)",2016-01-30,"(1437, 4, 20)",جشن سده,جشن سده,j
5,"(1394, 11, 12)",2016-02-01,"(1437, 4, 22)",بازگشت امام خمینی (ره) به ایران,بازگشت امام خمینی (ره) به ایران,j
6,"(1394, 11, 15)",2016-02-04,"(1437, 4, 25)",جشن میانه زمستان,جشن میانه زمستان,j
7,"(1394, 11, 19)",2016-02-08,"(1437, 4, 29)",روز نیروی هوایی,روز نیروی هوایی,j
8,"(1394, 11, 22)",2016-02-11,"(1437, 5, 2)",پیروزی انقلاب اسلامی,پیروزی انقلاب اسلامی,j
9,"(1394, 11, 22)",2016-02-11,"(1437, 5, 2)",حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران [۱۱ february],حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران,g
10,"(1394, 11, 23)",2016-02-12,"(1437, 5, 3)",زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی [۱۲ february],زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی,g
11,"(1394, 11, 25)",2016-02-14,"(1437, 5, 5)",ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز [٥ جمادی الاولی],ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز,h
12,"(1394, 11, 25)",2016-02-14,"(1437, 5, 5)",روز ولنتاین [۱۴ february],روز ولنتاین,g
13,"(1394, 11, 29)",2016-02-18,"(1437, 5, 9)",جشن سپندارمذگان و روز عشق,جشن سپندارمذگان و روز عشق,j
14,"(1394, 10, 1)",2015-12-22,"(1437, 3, 11)",روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان,روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان,j
15,"(1394, 10, 3)",2015-12-24,"(1437, 3, 13)",میلاد رسول اکرم به روایت اهل سنت [١٢ ربیع الاول],میلاد رسول اکرم به روایت اهل سنت,h
16,"(1394, 10, 4)",2015-12-25,"(1437, 3, 14)",جشن کریسمس [۲۵ december],جشن کریسمس,g
17,"(1394, 10, 5)",2015-12-26,"(1437, 3, 15)",سالروز زمین لرزه‌ی بم در سال ۱۳۸۲,سالروز زمین لرزه‌ی بم در سال ۱۳۸۲,j
18,"(1394, 10, 5)",2015-12-26,"(1437, 3, 15)",سالروز شهادت آشو زرتشت، ابرانسان بزرگ تاریخ,سالروز شهادت آشو زرتشت، ابرانسان بزرگ تاریخ,j
19,"(1394, 10, 8)",2015-12-29,"(1437, 3, 18)",به روز، دومین جشن دیگان,به روز، دومین جشن دیگان,j
20,"(1394, 10, 8)",2015-12-29,"(1437, 3, 18)",میلاد رسول اکرم و امام جعفر صادق علیه السلام [١٧ ربیع الاول],میلاد رسول اکرم و امام جعفر صادق علیه السلام,h
21,"(1394, 10, 11)",2016-01-01,"(1437, 3, 21)",جشن آغاز سال نو میلادی [۱ january],جشن آغاز سال نو میلادی,g
22,"(1394, 10, 15)",2016-01-05,"(1437, 3, 25)",به روز، سومین جشن دیگان,به روز، سومین جشن دیگان,j
23,"(1394, 10, 20)",2016-01-10,"(1437, 3, 30)",قتل امیرکبیر به دستور ناصرالدین شاه قاجار,قتل امیرکبیر به دستور ناصرالدین شاه قاجار,j
24,"(1394, 10, 23)",2016-01-13,"(1437, 4, 3)",به دین روز، چهارمین جشن دیگان,به دین روز، چهارمین جشن دیگان,j
25,"(1394, 10, 27)",2016-01-17,"(1437, 4, 7)",اجرای توافق نامه‌ی برجام,اجرای توافق نامه‌ی برجام,j
26,"(1394, 10, 29)",2016-01-19,"(1437, 4, 9)",ولادت امام حسن عسکری علیه السلام [٨ ربیع الثانی],ولادت امام حسن عسکری علیه السلام,h
27,"(1394, 12, 2)",2016-02-21,"(1437, 5, 12)",روز جهانی زبان مادری [۲۱ february],روز جهانی زبان مادری,g
28,"(1394, 12, 5)",2016-02-24,"(1437, 5, 15)",روز بزرگداشت زمین و بانوان,روز بزرگداشت زمین و بانوان,j
29,"(1394, 12, 5)",2016-02-24,"(1437, 5, 15)",روز بزرگداشت خواجه نصیر الدین طوسی و روز مهندس,روز بزرگداشت خواجه نصیر الدین طوسی و روز مهندس,j
30,"(1394, 12, 7)",2016-02-26,"(1437, 5, 17)",سالروز استقلال کانون وکلای دادگستری و روز وکیل مدافع,سالروز استقلال کانون وکلای دادگستری و روز وکیل مدافع,j
31,"(1394, 12, 7)",2016-02-26,"(1437, 5, 17)",سالروز درگذشت علی اکبر دهخدا,سالروز درگذشت علی اکبر دهخدا,j
32,"(1394, 12, 15)",2016-03-05,"(1437, 5, 25)",روز درختکاری,روز درختکاری,j
33,"(1394, 12, 18)",2016-03-08,"(1437, 5, 28)",روزجهانی زنان [۸ march],روزجهانی زنان,g
34,"(1394, 12, 23)",2016-03-13,"(1437, 6, 4)",شهادت حضرت فاطمه زهرا سلام الله علیها [٣ جمادی الثانیه],شهادت حضرت فاطمه زهرا سلام الله علیها,h
35,"(1394, 12, 25)",2016-03-15,"(1437, 6, 6)",پایان سرایش شاهنامه,پایان سرایش شاهنامه,j
