,name,center
0,آذربایجان شرقی,تبریز
1,آذربایجان غربی,ارومیه
2,اردبیل,اردبیل
3,اصفهان,اصفهان
4,البرز,کرج
5,ایلام,ایلام
6,بوشهر,بوشهر
7,تهران,تهران
8,چهارمحال وبختیاری,شهرکرد
9,خراسان جنوبی,بیرجند
10,خراسان رضوی,مشهد
11,خراسان شمالی,بجنورد
12,خوزستان,اهواز
13,زنجان,زنجان
14,سمنان,سمنان
15,سیستان وبلوچستان,زاهدان
16,فارس,شیراز
17,قزوین,قزوین
18,قم,قم
19,کردستان,سنندج
20,کرمان,کرمان
21,کرمانشاه,کرمانشاه
22,کهگیلویه وبویراحمد,یاسوج
23,گلستان,گرگان
24,گیلان,رشت
25,لرستان,خرم آباد
26,مازندران,ساری
27,مرکزی,اراک
28,هرمزگان,بندر عباس
29,همدان,همدان
30,یزد,یزد
31,اذربایجان شرقی,تبریز
32,آذربایجان غربی,ارومیه
